year,month,day,deforestation_area_ha
2021,8,24,13485.534921420383
2021,8,25,0.0
2021,8,26,29828.775310318688
2021,8,27,0.0
2021,8,28,0.0
2021,8,29,6746.518951940549
2021,8,30,5148.288518676781
2021,8,31,0.0
2021,9,1,0.0
2021,9,2,208.7516694199321
2021,9,3,6209.20117049212
2021,9,4,3836.195154254441
2021,9,5,0.0
2021,9,6,7812.410832320554
2021,9,7,20642.892809173405
2021,9,8,0.0
2021,9,9,2624.48546653429
2021,9,10,472.8654248157145
2021,9,11,0.0
2021,9,12,5147.446372967556
2021,9,13,12606.3293475175
2021,9,14,9748.026323631373
2021,9,15,0.0
2021,9,16,0.0
2021,9,17,2371.7455649291564
2021,9,18,0.0
2021,9,19,18712.04108127187
2021,9,20,24583.48365507298
2021,9,21,0.0
2021,9,22,11166.925822999037
2021,9,23,0.0
2021,9,24,0.0
2021,9,25,10385.710126305255
2021,9,26,0.0
2021,9,27,5570.324842940677
2021,9,28,0.0
2021,9,29,27920.29042142801
2021,9,30,34.663081974344095
2021,10,1,0.0
2021,10,2,0.0
2021,10,3,26830.221072717257
2021,10,4,0.0
2021,10,5,7005.636278521977
2021,10,6,16886.731369606525
2021,10,7,0.0
2021,10,9,0.0
2021,10,10,0.0
2021,10,11,12366.426262213521
2021,10,12,0.0
2021,10,13,0.0
2021,10,14,17674.200277559772
2021,10,15,0.0
2021,10,16,0.0
2021,10,17,4583.531606288793
2021,10,19,0.0
2021,10,20,11735.936639790163
2021,10,21,0.0
2021,10,22,0.0
2021,10,23,4451.324261261892
2021,10,24,0.0
2021,10,25,1272.9326140258295
2021,10,26,0.0
2021,10,27,3363.37591748971
2021,10,28,0.0
2021,10,29,8303.146591064187
2021,10,30,0.0
2021,10,31,6394.681136630744
2021,11,1,0.0
2021,11,2,466.4437410419075
2021,11,3,0.0
2021,11,4,5779.884063060962
2021,11,6,0.0
2021,11,7,2442.2161266384032
2021,11,8,0.0
2021,11,10,98.64960440291435
2021,11,11,1861.788763256402
2021,11,12,0.0
2021,11,13,4601.000121350929
2021,11,15,0.0
2021,11,16,3081.4762182371474
2021,11,17,0.0
2021,11,18,471.6774163439417
2021,11,19,0.0
2021,11,20,0.0
2021,11,21,0.0
2021,11,22,7.706753319434284
2021,11,23,3022.0255554881064
2021,11,24,0.0
2021,11,25,0.0
2021,11,27,5468.504109213741
2021,11,28,0.0
2021,11,29,0.0
2021,11,30,0.0
2021,12,1,678.3528388790021
2021,12,2,0.0
2021,12,3,0.0
2021,12,4,445.6497686910852
2021,12,5,0.0
2021,12,6,340.2444953617074
2021,12,7,0.0
2021,12,8,154.41229660909107
2021,12,9,529.3660720750624
2021,12,12,0.0
2021,12,13,0.0
2021,12,14,1170.1813405354465
2021,12,15,0.0
2021,12,16,0.0
2021,12,17,0.0
2021,12,19,0.0
2021,12,21,126.02308279762944
2021,12,22,618.8394510474434
2021,12,24,76.6271787205992
2021,12,26,803.8875079333491
2021,12,27,0.0
2021,12,28,641.7697988501485
2021,12,29,0.0
2021,12,30,891.6610149163976
2022,1,1,584.3457913134886
2022,1,3,623.6077359203425
2022,1,4,0.0
2022,1,5,0.0
2022,1,6,3823.736117848753
2022,1,7,0.0
2022,1,8,0.0
2022,1,10,49.958215251102544
2022,1,11,5387.747298205796
2022,1,12,0.0
2022,1,13,629.0010365762312
2022,1,14,0.0
2022,1,15,7594.0330875561385
2022,1,16,0.0
2022,1,17,4510.214271815027
2022,1,18,0.0
2022,1,19,1152.3154947499108
2022,1,20,508.04000217232624
2022,1,21,1591.1300467374967
2022,1,22,0.0
2022,1,23,4001.356635223782
2022,1,24,0.0
2022,1,25,0.0
2022,1,26,0.0
2022,1,27,2013.8398162801352
2022,1,29,0.0
2022,1,31,0.0
2022,2,1,332.6174379200236
2022,2,2,0.0
2022,2,3,45.833611303983275
2022,2,4,1182.27631160669
2022,2,5,0.0
2022,2,7,164.0137558299757
2022,2,8,0.0
2022,2,9,309.17476594445907
2022,2,10,0.0
2022,2,11,117.54550404550469
2022,2,12,1098.3034113625195
2022,2,14,0.0
2022,2,15,898.8850020685555
2022,2,16,0.0
2022,2,17,1194.3334323132185
2022,2,18,0.0
2022,2,20,0.0
2022,2,21,706.2561966793184
2022,2,22,866.6421051847519
2022,2,23,0.0
2022,2,25,2529.0006549079135
2022,2,27,2101.7289879906316
2022,2,28,0.0
2022,3,1,0.0
2022,3,2,2416.228770319526
2022,3,3,1166.3866482358676
2022,3,4,0.0
2022,3,5,56.96001234922625
2022,3,6,148.46575671913615
2022,3,7,279.29935826630117
2022,3,8,0.0
2022,3,9,0.0
2022,3,10,93.92383961746471
2022,3,11,336.6253926862878
2022,3,12,0.0
2022,3,13,1348.5177297895893
2022,3,16,3538.926525524744
2022,3,17,0.0
2022,3,18,0.0
2022,3,19,1560.3872945133453
2022,3,20,0.0
2022,3,21,0.0
2022,3,22,858.9473008242929
2022,3,23,2982.99748870813
2022,3,24,0.0
2022,3,25,250.29667243687436
2022,3,26,0.0
2022,3,28,308.5818246141323
2022,3,29,0.0
2022,3,30,90.56687066221544
2022,4,1,991.1924489945042
2022,4,2,0.0
2022,4,3,2585.8019180695915
2022,4,4,0.0
2022,4,5,0.0
2022,4,6,2314.360902280011
2022,4,7,0.0
2022,4,8,11730.118975623885
2022,4,9,0.0
2022,4,10,0.0
2022,4,11,0.0
2022,4,12,1350.188764730157
2022,4,13,1373.2448469750295
2022,4,14,2715.1003858754198
2022,4,15,0.0
2022,4,18,0.0
2022,4,19,3047.7380130516494
2022,4,20,0.0
2022,4,21,233.4584327474838
2022,4,22,1586.477725867453
2022,4,23,2438.146004586222
2022,4,24,0.0
2022,4,25,16782.869587082492
2022,4,26,0.0
2022,4,27,0.0
2022,4,28,1557.1520646420531
2022,4,29,4222.31659223008
2022,4,30,0.0
2022,5,1,0.0
2022,5,2,1739.0290356814667
2022,5,3,0.0
2022,5,4,190.0618834883133
2022,5,5,1754.0989837956536
2022,5,6,0.0
2022,5,7,0.0
2022,5,8,1989.4690940858702
2022,5,9,0.0
2022,5,10,9109.728386239965
2022,5,11,0.0
2022,5,12,8214.427482476505
2022,5,13,0.0
2022,5,14,401.1994459475766
2022,5,15,5139.592698909355
2022,5,17,0.0
2022,5,18,2560.570853413725
2022,5,19,2139.2247481657455
2022,5,20,5718.366241984634
2022,5,21,0.0
2022,5,22,9477.610482005268
2022,5,23,0.0
2022,5,24,432.3784851079622
2022,5,25,0.0
2022,5,26,0.0
2022,5,27,1447.3285677041192
2022,5,28,0.0
2022,5,29,0.0
2022,5,30,5349.934907153963
2022,5,31,169.90432912569213
2022,6,2,0.0
2022,6,3,0.0
2022,6,4,212.60243355090495
2022,6,5,257.473040217364
2022,6,6,650.0552631145306
2022,6,7,0.0
2022,6,8,2110.706881216581
2022,6,9,0.0
2022,6,10,0.0
2022,6,12,1011.5467667749392
2022,6,13,17306.790541524384
2022,6,14,0.0
2022,6,15,0.0
2022,6,16,228.27832508538188
2022,6,17,24391.347853972457
2022,6,18,0.0
2022,6,19,4045.409798667351
2022,6,20,0.0
2022,6,21,723.1756966952707
2022,6,22,447.1893372246541
2022,6,23,616.6184215649246
2022,6,24,9574.343638926946
2022,6,25,0.0
2022,6,26,0.0
2022,6,27,0.0
2022,6,28,1784.7105240532849
2022,6,29,5231.390000542359
2022,6,30,6940.544845629898
2022,7,1,0.0
2022,7,2,0.0
2022,7,3,0.0
2022,7,4,0.0
2022,7,5,4836.522264836108
2022,7,6,26087.593174188136
2022,7,7,0.0
2022,7,8,0.0
2022,7,9,21595.69592734496
2022,7,10,0.0
2022,7,11,4366.52863227309
2022,7,12,20369.289158047504
2022,7,13,0.0
2022,7,14,0.0
2022,7,15,0.0
2022,7,16,4886.113469020916
2022,7,17,2406.0174260312533
2022,7,18,0.0
2022,7,19,6156.297099761511
2022,7,20,5273.567501708241
2022,7,21,0.0
2022,7,22,3541.9864041716555
2022,7,23,0.0
2022,7,24,5522.1304333839325
2022,7,25,11555.735282190719
2022,7,26,0.0
2022,7,27,6046.0015891654
2022,7,28,0.0
2022,7,29,6633.7750911961575
2022,7,30,0.0
2022,7,31,1813.773862973705
